feature_id,hits,n_prompts,mean_activation,context_specificity,token_specificity,context_specificity_vs_baseline,token_specificity_vs_baseline,firing_rate,composite_score
1607,30,15,2.8233843088150024,0.09018252707456573,0.320443564967253,0.023786529073467094,-0.010692363663575843,0.00333667000333667,0.16713158336435296
1907,72,64,3.607105048166381,0.09008899141964546,0.5242887088335174,0.02369299341854683,0.19315278020268856,0.008008008008008008,0.2912776581383564
3361,179,74,2.233742293032854,0.08976575620662083,0.39533260097190503,0.0233697582055222,0.06419667234107618,0.019908797686575466,0.16032891877487246
5703,144,98,3.3839132347040706,0.08943404100917395,0.46457693681975526,0.023038043008075312,0.1334410081889264,0.016016016016016016,0.260201221269996
4845,22,21,3.5214896202087402,0.08928230494066228,0.47400400685086574,0.022886306939563644,0.1428680782200369,0.0024468913357802245,0.2719340665812676
4335,104,86,3.580429780941743,0.08907573216908127,0.38050860740822356,0.022679734167982635,0.04937267877739471,0.01156712267823379,0.24800821722311717
2236,22,13,3.1031813621520996,0.08896818419042087,0.6139533029737804,0.022572186189322233,0.2828173743429515,0.0024468913357802245,0.25397910663155726
3076,121,76,3.0513547363360067,0.0889623965702891,0.3439692093848555,0.022566398569190474,0.012833280754026621,0.013457902346791235,0.19391146965652498
948,114,96,3.4259593110335502,0.08894058673874902,0.3992564281278686,0.02254458873765039,0.06812049949703974,0.012679346012679346,0.2439455458534432
2732,119,109,3.0721406696223412,0.08889653783485443,0.46535251074114453,0.0225005398337558,0.13421658211031567,0.013235457679902125,0.23409695073330355
3990,14,13,2.972055588449751,0.08800649429847493,0.4864789393978061,0.021610496297376297,0.15534301076697726,0.0015571126682237793,0.22606363051024386
6369,427,158,4.852940092321302,0.0877513830999519,0.6317348923257502,0.021355385098853263,0.30059896369492134,0.04749193638082527,0.3897001340207275
939,75,52,3.969312884012858,0.08768357370490373,0.6943441552970112,0.0212875757038051,0.36320822666618235,0.008341675008341674,0.3228862697349697
4887,126,96,3.1974876863615855,0.08693752696002166,0.6803934047967458,0.020541528958923028,0.34925747616591696,0.014014014014014014,0.2554259026496969
48,120,71,2.4406588713328046,0.08689467659641054,0.35897275477499396,0.020498678595311903,0.027836826144165105,0.01334668001334668,0.15614736758000713
2435,81,18,2.686170483812874,0.08632430910578749,0.3240270639867857,0.01992831110468886,-0.007108864644043145,0.009009009009009009,0.15292586830084662
6927,93,73,2.863546825224353,0.08618466726012936,0.3330035725601957,0.019788669259030722,0.0018676439293668357,0.010343677010343676,0.1682991332786334
263,177,149,5.7375709377439685,0.08585490127965513,0.9445053406967661,0.019458903278556497,0.6133694120659372,0.019686353019686353,0.46351011292068656
5088,231,105,3.9846834362327277,0.08555072055146976,0.39712651735658927,0.019154722550371123,0.06599058872576041,0.02569235902569236,0.2664592039184032
3860,127,78,2.7740434164137353,0.08524858768741651,0.38083160584733333,0.01885258968631788,0.049695677216504475,0.01412523634745857,0.17999764411047114
4902,317,307,3.2815453690309253,0.08520298675108182,0.9352689511155516,0.018806988749983183,0.6041330224847228,0.035257479701924145,0.26109863712822695
644,112,41,2.6630579669560706,0.08471807850008843,0.3878611726429789,0.0183220804989898,0.05672524401215007,0.012456901345790234,0.17302860260014233
5541,83,78,2.6736396709120416,0.08454136721546289,0.313950500060971,0.018145369214364257,-0.01718542856985783,0.009231453675898121,0.14151569595220934
2461,171,153,2.812216091574284,0.08444209369645,0.2917560624019997,0.018046095695351372,-0.03937986622882916,0.01901901901901902,0.12828786303944295
1596,97,52,3.306333938824762,0.08424354948714109,0.3680346797627014,0.01784755148604246,0.03689875113187252,0.010788566344121899,0.20586997074116292
1741,532,231,2.836369671991893,0.08416312469811175,0.32748950553889,0.017767126697013122,-0.003646423091938855,0.05917028139250362,0.15819177153389463
934,406,235,4.154417334225378,0.08360811268992373,0.5421319576882749,0.017212114688825095,0.21099602905744608,0.0451562673784896,0.29729846378971914
380,61,48,3.755080178135731,0.08318461083384307,0.4702268569024074,0.016788612832744437,0.13909092827157854,0.006784562340117896,0.2567645192713718
2043,72,61,2.5848876817358866,0.08314877747429451,0.3434006019615253,0.01675277947319588,0.012264673330696418,0.008008008008008008,0.14908675252868347
5865,235,153,3.8566799813128534,0.08305474463145522,0.2876705094381159,0.01665874663035659,-0.04346541919271296,0.02613724835947058,0.16622002739048533
4257,218,173,3.2301389427360045,0.08264103235820347,0.5675268265196597,0.016245034357104837,0.23639089788883083,0.024246468690913136,0.2283566231540779
2393,737,256,2.6558588070332436,0.08250239962731291,0.3279804333721188,0.01610640162621428,-0.0031554952587100615,0.08197085974863752,0.1442773529521708
4126,157,113,2.9286432418094317,0.08214710604992453,0.3868837511470972,0.0157511080488259,0.055747822516268364,0.01746190635079524,0.18077076482118626
4379,162,76,2.9015471751307262,0.08205114482896779,0.4020321861024159,0.015655146827869157,0.07089625747158707,0.018018018018018018,0.18237551723470333
1562,151,100,3.6345297437629953,0.08182966603527672,0.2975579283769698,0.015433668034178089,-0.03357800025385904,0.016794572350127907,0.1673240074051346
4036,65,55,2.7297747923777655,0.08159607948907424,0.3318966119646721,0.015200081487975609,0.0007606833338432151,0.007229451673896118,0.14789541805364714
484,28,24,3.5100095995834897,0.08156266175484171,0.4832594654152951,0.015166663753743079,0.15212353678446622,0.0031142253364475586,0.2335238537826044
5387,53,38,2.916835465521183,0.08148497365595231,0.4639431963548388,0.015088975654853676,0.13280726772400997,0.005894783672561451,0.1914479390998757
6527,724,333,2.343141605182247,0.08146379321689005,0.40015960428658026,0.015067795215791421,0.0690236756557514,0.0805249694138583,0.1451597179488078
2544,98,84,4.045994909442201,0.08107323518903065,0.4295339708981693,0.014677237187932013,0.09839804226734045,0.010899788677566455,0.25630946163406054
2184,179,121,3.396428439204253,0.08094327868904251,0.27956571958291443,0.014547280687943878,-0.05157020904791443,0.019908797686575466,0.12987784643025496
308,63,56,2.9826704320453463,0.08087130657286455,0.3640929155750025,0.014475308571765919,0.03295698694417365,0.007007007007007007,0.17274832128603376
810,131,122,4.755962244426931,0.0807817146369777,0.9071958570532161,0.014385716635879064,0.5760599284223873,0.014570125681236792,0.34007327559999867
996,73,58,3.86410061137317,0.0804955604716758,0.4682743830447431,0.01409956247057717,0.13713845441391426,0.008119230341452564,0.24872280481303255
765,138,65,3.336592520492664,0.08043223713546993,0.47568404991478447,0.014036239134371298,0.1445481212839556,0.015348682015348681,0.21541888741254764
6505,561,406,3.022743759520764,0.08038428003007606,0.6069941847228124,0.013988282028977422,0.27585825609198356,0.06239572906239573,0.20505011959206823
2009,182,151,2.948789121685447,0.08029812456684313,0.4453413223649109,0.013902126565744494,0.11420539373408206,0.020242464686909132,0.18600449250350795
4223,442,290,2.902760655362142,0.08010576185703525,0.28520299964061857,0.013709763855936613,-0.04593292899021029,0.049160271382493605,0.11707939800443673
4274,189,138,4.063534972528932,0.07953625861910966,0.4607764806247613,0.013140260618011032,0.12964055199393243,0.021021021021021023,0.25459150495976696
3710,204,134,3.34709828916718,0.0794640553988965,0.497971975021877,0.013068057397797872,0.16683604639104815,0.022689356022689355,0.21375279968533054
1598,579,157,2.45186459194605,0.07946083462230887,0.3611566870569066,0.013064836621210232,0.030020758426077765,0.06439773106439774,0.1371590039362919
4011,16,16,2.459357649087906,0.07908711148144856,0.5470382044014401,0.01269111348034993,0.21590227577061127,0.0017795573351128907,0.15877097119356515
6654,100,68,3.4583970403671263,0.07905496351335316,0.40781861806313724,0.012658965512254525,0.07668268943230838,0.011122233344455567,0.2050501230240559
4572,247,176,3.1950457366371925,0.07905405770656206,0.3037330499210907,0.012658059705463423,-0.027402878709738177,0.02747191636080525,0.14627977889707716
5984,149,122,2.9780577981231997,0.07893524082316757,0.34851930304216705,0.012539242822068933,0.017383374411338193,0.016572127683238794,0.16040415386194912
6616,43,42,2.8502941686053607,0.07892737233719083,0.9591547950254565,0.012531374336092194,0.6280188663946277,0.004782560338115894,0.19503962780208395
7113,30,26,2.37734428246816,0.0786521222774596,0.6052578113257616,0.012256124276360969,0.27412188269493276,0.00333667000333667,0.15439435564708073
2671,128,101,2.786083657294512,0.07865044922578208,0.7331703668006596,0.012254451224683452,0.40203443816983075,0.014236458680903126,0.18522345913815141
1803,34,34,2.7982505209305706,0.07845216885983836,0.3799982179062345,0.012056170858739723,0.048862289275405646,0.0037815593371148927,0.15807530550736903
384,123,108,2.960673546403404,0.07775247111377388,0.3029535459496556,0.01135647311267525,-0.028182382681173235,0.013680347013680347,0.13180908467555563
1453,162,118,4.187200681662854,0.07756979214257093,0.343894023599185,0.011173794141472293,0.012758094968356115,0.018018018018018018,0.21667574831668307
4310,28,23,3.167632750102452,0.07744101013441304,0.8016290947222766,0.011045012133314408,0.47049316609144776,0.0031142253364475586,0.20555378802349025
9,169,152,3.231295151823371,0.07737940743168477,0.6024182341949837,0.010983409430586136,0.2712823055641549,0.01879657435212991,0.20287026039248884
5400,200,184,2.633146463036537,0.07732113115683388,0.8566739189807331,0.010925133155735248,0.5255379903499042,0.022244466688911134,0.17119243982355983
7016,36,34,2.966716173622343,0.0772943947454341,0.5652717131715453,0.010898396744335473,0.23413578454071649,0.004004004004004004,0.18401154801642808
4587,1195,383,2.5834363772779327,0.07721896142824053,0.3176829429320445,0.010822963427141896,-0.013452985698784337,0.13291068846624401,0.12223553175011978
6558,261,165,5.167833477144497,0.07715174807875394,0.7905841300777835,0.010755750077655307,0.45944820144695464,0.02902902902902903,0.3323122290463723
